accession,strain,gene,genotype
HM144128,A/Mazandaran/510/2008(H1N1),HA,H1
HM585494,A/swine/Iowa/03031/2010(H1N1),HA,H1
KC555081,A/white_bellied_bustard/United_Arab_Emirates/D1520/2011(H9N2),HA,H9
KC555097,A/quail/United_Arab_Emirates/D1556/2011(H9N2),HA,H9
KC610049,A/swine/Thailand/CU_SPL4/2010(H1N1),HA,H1
KJ527614,A/blue_winged_teal/Ohio/13OS1770/2013(H7N3),HA,H7
KJ567945,A/blue_winged_teal/Ohio/13OS2037/2013(H7N1),HA,H7
KJ568393,A/American_green_winged_teal/Wisconsin/13OS3468/2013(H7N3),HA,H7
KT887259,A/blue_winged_teal/Louisiana/UGAI14_106/2014(H7N1),HA,H7
KT887267,A/ruddy_turnstone/New_Jersey/UGAI14_1204/2014(H7N3),HA,H7
KT887410,A/blue_winged_teal/Louisiana/UGAI14_842/2014(H7N3),HA,H7
KU289770,A/American_green_winged_teal/Colorado/A00660616/2008(H7N3),HA,H7
KU289794,A/American_green_winged_teal/Texas/A00586649/2009(H7N3),HA,H7
KU289943,A/blue_winged_teal/Texas/A00463679/2010(H7N3),HA,H7
KU290156,A/mute_swan/Rhode_Island/A00325105/2008(H7N3),HA,H7
KU290228,A/northern_pintail/Texas/A00466052/2009(H7N3),HA,H7
KX228218,A/chicken/Wales/600_020823/2014(H4N6),HA,H4
KY013716,A/blue_winged_teal/Texas/UGAI15_0568/2015(H7N3),HA,H7
KY013756,A/blue_winged_teal/Louisiana/UGAI15_1321/2015(H7N3),HA,H7
KY013802,A/blue_winged_teal/Louisiana/UGAI15_2471/2015(H7N3),HA,H7
KY013873,A/blue_winged_teal/Texas/UGAI15_4935/2015(H7N3),HA,H7
KY131096,A/northern_pintail/Alaska/568/2013(H7N3),HA,H7
KY550857,A/mallard/West_Virginia/AH0077733/2016(H7N7),HA,H7
KY550904,A/American_green_winged_teal/Mississippi/AH0076465/2016(H7N3),HA,H7
KY550983,A/mallard/Kentucky/AH0069753/2016(H7N7),HA,H7
KY551111,A/American_green_winged_teal/Texas/AH0058651/2016(H7N2),HA,H7
MG279744,A/lesser_scaup/Illinois/17OS1577/2017(H7N3),HA,H7
MG280032,A/Northern_shoveler/Mississippi/16OS6142/2016(H7N3),HA,H7
MG280180,A/mallard_duck/Maryland/17OS0098/2017(H7N3),HA,H7
MH501761,A/ruddy_turnstone/New_Jersey/AI12_2344/2012(H7N7),HA,H7
MH546323,A/blue_winged_teal/South_Carolina/16_042570_1/2016(H7N1),HA,H7
MH569319,A/emperor_goose/Alaska/UGAI16_1568/2016(H7N2),HA,H7
MK237419,A/mallard/Missouri/17OS4733/2017(H7N3),HA,H7
MN937790,A/mallard/Minnesota/UGAI18_2027/2018(H7N3),HA,H7
AY531031,A/Mallard/65112/03(H3N8),HA,H3
CY017701,A/mallard/Ohio/324/1988(H4N6),HA,H4
CY017749,A/mallard/Alaska/708/2005(H8N4),HA,H8
CY020981,A/mallard/Ohio/129/1989(H4N6),HA,H4
CY021237,A/green_winged_teal/Ohio/1324/2005(H4N6),HA,H4
CY024778,A/starling/Victoria/1985(H7N7),HA,H7
CY034926,A/Czech_Republic/1/1966(H2N2),HA,H2
CY041418,A/mallard/Netherlands/26/2005(H11N2),HA,H11
CY075933,A/mallard/California/19524_001/2005(H6N8),HA,H6
CY122327,A/swine/Ohio/6/2012(H3N2),HA,H3
CY139497,A/mallard/New_Brunswick/00979/2010(H4N8),HA,H4
CY203693,A/mallard/Maryland/06OS1110/2006(H4N6),HA,H4
CY206276,A/blue_winged_teal/Louisiana/AI12_4445/2012(H4N6),HA,H4
CY206292,A/blue_winged_teal/Texas/AI12_4460/2012(H4N6),HA,H4
CY206349,A/blue_winged_teal/Texas/AI13_3541/2013(H4N6),HA,H4
CY206571,A/blue_winged_teal/Texas/AI13_4151/2013(H4N6),HA,H4
FJ750874,A/wild_bird_feces/Korea/HDR16/2003(H7N2),HA,H7
GU228593,A/mallard/Crimea/224/2008(H5N2),HA,H5
GU228596,A/garganey/Crimea/2027/2008(H7N8),HA,H7
JX307238,A/duck/Thailand/CU_10518C/2011(H7N4),HA,H7
KF500935,A/swine/Italy/73449/2013(H1N1),HA,H1
KP714413,A/mule_duck/Bulgaria/187/2010(H6N2),HA,H6
KP714446,A/mule_duck/Bulgaria/674/2010(H6N5),HA,H6
KR271015,A/thick_billed_murre/Greenland/9045_2K/2014(H5N1),HA,H5
KU143274,A/turtledove/Wuhan/HKBJ62/2015(H6N6),HA,H6
LC427499,A/duck/Vietnam/HU5_483/2016(H10N6),HA,H10
MG279763,A/mallard_duck/Ohio/16OS0869/2016(H7N3),HA,H7
MG550085,A/duck/India/12CL22/2015(H6N2),HA,H6
AB289331,A/duck/Hong_Kong/438/1977(H4N8),HA,H4
AB292404,A/duck/Hong_Kong/951/1980(H4N1),HA,H4
AB292408,A/duck/Hong_Kong/229/1977(H4N3),HA,H4
AB450439,A/duck/Hokkaido/138/2007(H4N6),HA,H4
AB474082,A/chicken/Hmawbi/517/2007(H5N1),HA,H5
AB478026,A/village_chicken/Kyaing_Tong/2433/2007(H5N1),HA,H5
AB545603,A/duck/Vietnam/OIE_2454/2009(H4N6),HA,H4
AB558256,A/duck/Shimane/18/2006(H7N7),HA,H7
AB593479,A/duck/Vietnam/G18/2009(H12N5),HA,H12
AB780473,A/duck/Mongolia/OIE_241/2012(H4N8),HA,H4
AJ410519,A/pheasant/Hong_Kong/SH39/99(H6N1),HA,H6
AJ410520,A/quail/Hong_Kong/1721_20/99(H6N1),HA,H6
AJ410522,A/quail/Hong_Kong/SF550/00(H6N1),HA,H6
AY679514,A/Thailand/LFPN_2004/2004(H5N1),HA,H5
CY011036,A/mallard/Ohio/657/2002(H4N6),HA,H4
CY011056,A/mallard/Ohio/275/1987(H4N2),HA,H4
CY012808,A/mallard/Ohio/298/1987(H4N6),HA,H4
CY012816,A/mallard/Ohio/97/1989(H4N2),HA,H4
CY013248,A/mallard/Ohio/338/1986(H4N8),HA,H4
CY020765,A/black_duck/Maryland/834/2002(H4N8),HA,H4
CY028251,A/duck/Victoria/5384/2002(H4N8),HA,H4
CY028969,A/duck/Hunan/533/2004(H5N1),HA,H5
CY036197,A/little_egret/Hong_Kong/8550/2007(H5N1),HA,H5
CY036269,A/peregrine_falcon/Hong_Kong/2142/2008(H5N1),HA,H5
CY062459,A/Egypt/N11981/2009(H5N1),HA,H5
CY085998,A/swine/Hong_Kong/NS252/2009(H1N2),HA,H1
CY098309,A/duck/Lao/6/2010(H5N1),HA,H5
CY098331,A/duck/Lao/19/2010(H5N1),HA,H5
CY114485,A/Netherlands/5/1998(H3N2),HA,H3
CY139761,A/mallard/Minnesota/182772/1998(H4N2),HA,H4
CY146489,A/mallard/New_Jersey/AI09_5137/2009(H4N9),HA,H4
CY146700,A/duck/Hunan/S4220/2011(H5N1),HA,H5
CY177870,A/mallard/Wisconsin/903/1982(H4N2),HA,H4
CY178551,A/mallard/Saskatchewan/117/1982(H4N6),HA,H4
EF592495,A/mallard/SanJiang/151/2006(H6N2),HA,H6
EU118133,A/chicken/Vietnam/G62/2005(H5N1),HA,H5
EU183332,A/chicken/Egypt/R6/2007(H5N1),HA,H5
EU564106,A/Larus_ichthyaetus/Astrakhan/10/1988(H13N6),HA,H13
EU635874,A/chicken/Yunnan/chuxiong01/2005(H5N1),HA,H5
FJ492883,A/Fujian/1/2007(H5N1),HA,H5
FJ492885,A/Jiangxi/1/2005(H5N1),HA,H5
FJ520082,A/northern_pintail/California/44221_608/2006(H1N2),HA,H1
FJ784843,A/chicken/Henan/1362/2006(H5N1),HA,H5
FJ784844,A/duck/Henan/1647/2006(H5N1),HA,H5
FJ784847,A/chicken/Hunan/1793/2007(H5N1),HA,H5
GU727677,A/duck/Eastern_China/909/2009(H5N1),HA,H5
HM144391,A/duck/Shantou/1275/2004(H6N1),HA,H6
HM144441,A/wild_duck/Shantou/867/2002(H6N2),HA,H6
HM144552,A/duck/Hunan/1469/2002(H6N8),HA,H6
HM144554,A/duck/Hunan/3748/2004(H6N8),HA,H6
HM172079,A/chicken/Guizhou/7/2008(H5N1),HA,H5
HM172081,A/chicken/Hebei/A_8/2009(H5N1),HA,H5
HM172088,A/duck/Hunan/11/2007(H5N1),HA,H5
HM172097,A/duck/Hunan/29/2006(H5N1),HA,H5
HM172101,A/shrike/Tibet/13/2006(H5N1),HA,H5
HM193569,A/mallard/Alaska/44244_130/2006(H4N6),HA,H4
HM193852,A/swine/Minnesota/03000/2010(H1N1),HA,H1
HM754219,A/swine/Missouri/03035/2010(H1N2),HA,H1
HQ244423,A/mallard/Czech_Republic/12652/2007(H4N6),HA,H4
HQ378738,A/swine/Iowa/46519_4/2008(H1N1),HA,H1
JN055363,A/chicken/Vietnam/18129/2009(H5N1),HA,H5
JN807975,A/baikal_teal/Korea/Q34/2011(H5N1),HA,H5
JN807978,A/chicken/Korea/IC546/2011(H5N1),HA,H5
JN807982,A/chicken/Korea/YS171/2011(H5N1),HA,H5
JN807989,A/eurasian_eagle_owl/Korea/Q133/2011(H5N1),HA,H5
JN986881,A/duck/Vietnam/QT801/2011(H5N1),HA,H5
JQ041401,A/duck/Eastern_China/1111/2011(H5N2),HA,H5
JQ638673,A/chicken/Jiangsu/k0402/2010(H5N1),HA,H5
JQ858483,A/chicken/Egypt/121/2012(H5N1),HA,H5
JQ898146,A/duck/Quangngai/1037/2011(H5N1),HA,H5
JX021305,A/duck/Vietnam/NA72/2007(H5N1),HA,H5
JX420174,A/chicken/Ha_Tay/44/2007(H5N1),HA,H5
JX975041,A/swine/South_Dakota/23/2012(H1N1),HA,H1
JX983102,A/swine/Minnesota/27/2012(H1N1),HA,H1
JX983105,A/swine/Minnesota/28/2012(H1N1),HA,H1
KC117397,A/swine/Minnesota/A01267877/2012(H1N1),HA,H1
KC167141,A/swine/Minnesota/A01267765/2012(H1N1),HA,H1
KC167144,A/swine/SouthDakota/A01267781/2012(H1N1),HA,H1
KC167159,A/swine/SouthDakota/A01267922/2012(H1N1),HA,H1
KC167168,A/swine/SouthDakota/A01267955/2012(H1N1),HA,H1
KC189016,A/swine/Minnesota/A01279213/2012(H1N1),HA,H1
KC238314,A/swine/South_Dakota/A01267992/2012(H1N1),HA,H1
KC261465,A/chicken/Eastern_China/ZG56/2011(H5N1),HA,H5
KC261467,A/chicken/Eastern_China/ZG16/2010(H5N1),HA,H5
KC631941,A/chicken/China/AH/2012(H5N1),HA,H5
KC693616,A/chicken/Taiwan/TC147/2010(H6N1),HA,H6
KC759329,A/swine/Iowa/A01280963/2013(H1N1),HA,H1
KC844200,A/swine/South_Dakota/A01349306/2013(H1N1),HA,H1
KF150634,A/chicken/Jiangsu/1001/2013(H5N2),HA,H5
KF234484,A/swine/Minnesota/A01350647/2013(H1N1),HA,H1
KF234490,A/swine/Minnesota/A01350829/2013(H1N1),HA,H1
KF680058,A/swine/Iowa/A01364403/2013(H1N1),HA,H1
KF709399,A/swine/Iowa/A01364844/2013(H1N1),HA,H1
KF709402,A/swine/Ohio/A01364847/2013(H1N1),HA,H1
KF790589,A/swine/Iowa/A01365339/2013(H1N1),HA,H1
KF881370,A/chicken/Egypt/D7663C/2013(H9N2),HA,H9
KF888386,A/swine/Iowa/A01365761/2013(H1N1),HA,H1
KF888408,A/duck/Bangladesh/19099/2013(H5N1),HA,H5
KF888440,A/duck/Bangladesh/18949/2013(H5N1),HA,H5
KF888461,A/chicken/Bangladesh/15210/2012(H5N1),HA,H5
KF888514,A/chicken/Bangladesh/18248/2012(H5N1),HA,H5
KF888546,A/chicken/Bangladesh/15078/2012(H5N1),HA,H5
KF982065,A/swine/Minnesota/A01366107/2013(H1N1),HA,H1
KJ130222,A/swine/Illinois/A01366358/2013(H1N1),HA,H1
KJ162812,A/chicken/Taiwan/1843/2012(H6N1),HA,H6
KJ162820,A/chicken/Taiwan/2084/2012(H6N1),HA,H6
KJ162828,A/chicken/Taiwan/2267/2012(H6N1),HA,H6
KJ174937,A/chicken/Henan/Q7/2013(H5N2),HA,H5
KJ522708,A/chicken/Egypt/123AS/2012(H5N1),HA,H5
KJ522727,A/duck/Egypt/131AL/2013(H5N1),HA,H5
KJ522739,A/chicken/Egypt/13639V/2013(H5N1),HA,H5
KJ682236,A/chicken/Bhutan/331/2012(H5N1),HA,H5
KJ682244,A/chicken/Bhutan/1031/2012(H5N1),HA,H5
KJ682246,A/wild_bird/Bhutan/357/2012(H5N1),HA,H5
KJ683871,A/swine/South_Dakota/A01480750/2014(H1N1),HA,H1
KJ889288,A/swine/Minnesota/A01481244/2014(H1N1),HA,H1
KJ907631,A/duck/Jilin/JL_SIV/2013(H5N1),HA,H5
KJ955606,A/swine/South_Dakota/A01481498/2014(H1N1),HA,H1
KM244092,A/chicken/Texas/9686_3/2014(H6N5),HA,H6
KM251464,A/duck/Sichuan/NCJPL7/2014(H5N6),HA,H5
KM251469,A/duck/Sichuan/NCXN10/2014(H5N1),HA,H5
KM504101,A/duck/Shandong/Q1/2013(H5N8),HA,H5
KM821623,A/chicken/Khanhhoa/CVVI_18/2013(H5N1),HA,H5
KM821637,A/duck/Khanhhoa/CVVI_32/2014(H5N1),HA,H5
KM821638,A/duck/Khanhhoa/CVVI_33/2014(H5N1),HA,H5
KP000015,A/chicken/Laiwu/0313/2014(H5N2),HA,H5
KP000023,A/chicken/Shijiazhuang/1209/2013(H5N2),HA,H5
KP097913,A/duck/Vietnam/NCVD_KA368/2012(H5N1),HA,H5
KP097919,A/chicken/Vietnam/NCVD_KA435/2013(H5N1),HA,H5
KP097922,A/chicken/Vietnam/NCVD_A015/2008(H5N1),HA,H5
KP209294,A/duck/Egypt/1468S/2014(H5N1),HA,H5
KP209296,A/chicken/Egypt/1411CAL/2014(H5N1),HA,H5
KP209301,A/chicken/Egypt/141VI/2014(H5N1),HA,H5
KP732635,A/goose/Eastern_China/L1214/2012(H5N8),HA,H5
KP732639,A/duck/Eastern_China/S0131/2014(H5N2),HA,H5
KP732642,A/duck/Eastern_China/S0808/2014(H5N2),HA,H5
KP735813,A/goose/Yangzhou/ZG60/2009(H5N5),HA,H5
KP735814,A/chicken/Dongtai/601/2011(H5N1),HA,H5
KP742892,A/muscovy_duck/Muaraenim/BppvIII_13.73/2013(H5N1),HA,H5
KP742893,A/muscovy_duck/Pesawaran/BppvIII_13.36/2013(H5N1),HA,H5
KP742894,A/duck/Trimurjo/BppvIII_12.1182/2012(H5N1),HA,H5
KP742910,A/duck/Tabalong/0514117/2014(H5N1),HA,H5
KP767620,A/duck/Jiangsu/JF360/2014(H2),HA,H2
KP793723,A/chicken/Yuhang/1/2013(H5N9),HA,H5
KR137710,A/chicken/YL/A3190/2014(H5N2),HA,H5
KR701455,A/swine/Spain/35944/2012(H3N2),HA,H3
KT285349,A/chicken/India/01CL1619/2012(H9N2),HA,H9
KT383478,A/goose/Guangdong/s13124/2013(H5N8),HA,H5
KT587286,A/pigeon/Hubei/RP25/2012(H5N1),HA,H5
KU042748,A/duck/Zhejiang/77138/2014(H5N2),HA,H5
KU042759,A/goose/Zhejiang/925105/2014(H5N6),HA,H5
KU042762,A/goose/Zhejiang/112080/2014(H5N6),HA,H5
KU042767,A/duck/Zhejiang/925019/2014(H5N8),HA,H5
KU143291,A/wild_bird/Wuhan/CDHN01/2015(H11N9),HA,H11
KU971397,A/chicken/Ghana/15VIR5480_10/2015(H5N1),HA,H5
KU971610,A/chicken/Nigeria/VRD105/2015(H5N1),HA,H5
KX523694,A/duck/Hubei/SZY250/2016(H5N2),HA,H5
KY029061,A/chicken/Egypt/ZU47/2016(H5N1),HA,H5
KY029066,A/chicken/Egypt/ZU116/2016(H5N1),HA,H5
KY056286,A/chicken/Zhejiang/209/2016(H5N2),HA,H5
KY056288,A/chicken/Zhejiang/232/2016(H5N2),HA,H5
KY170903,A/duck/Vietnam/R2_02_623_2/2013(H5N1),HA,H5
KY171031,A/duck/Vietnam/R6_07_693/2013(H5N1),HA,H5
KY171071,A/chicken/Vietnam/NCVD14_A380/2014(H5N1),HA,H5
KY171119,A/chicken/Vietnam/NCVD14_A390/2014(H5N1),HA,H5
KY171478,A/chicken/Vietnam/NCVD_2749/2013(H5N1),HA,H5
KY171494,A/chicken/Vietnam/NCVD_1096/2013(H5N1),HA,H5
KY437775,A/goose/Guangdong/YJD/2014(H5N6),HA,H5
KY926747,A/chicken/Cameroon/16VIR3791_12/2016(H5N1),HA,H5
LC342715,A/duck/Vietnam/QuangBinh/LBM0909/2016(H5N6),HA,H5
LC376798,A/chicken/Vietnam/QuangBinh/BD1113/2017(H5N6),HA,H5
LC496336,A/mallard/Kagoshima/KG1C/2017(H4N9),HA,H4
LC498517,A/duck/Hokkaido/W195/2015(H4N6),HA,H4
MF399540,A/Ferruginous_Pochard/Ningxia/473_8/2015(H5N6),HA,H5
MF399660,A/Gadwall/Ningxia/487_38/2015(H5N6),HA,H5
MF960000,A/goose/Yangzhou/YZ587/2016(H5N6),HA,H5
MF960001,A/chicken/Xuzhou/XZ6/2016(H5N6),HA,H5
MG891804,A/Anas_platyrhynchos/Korea/W612/2017(H5N6),HA,H5
MH071365,A/chicken/Taiwan/0702/2013(H6N1),HA,H6
MH165532,A/chicken/South_Africa/Standerton/2017(H5N8),HA,H5
MH170289,A/chicken/South_Africa/N2826/2016(H6N2),HA,H6
MH283557,A/swine/Ohio/16TOSU1889/2016(H1N2),HA,H1
MH285274,A/chicken/Cambodia/Z207W17M1/2015(H5N1),HA,H5
MH285298,A/chicken/Cambodia/Z850W49M1/2015(H5N1),HA,H5
MK168599,A/Crow/Aghakhan/2017(H5N8),HA,H5
MK345676,A/ruddy_turnstone/Delaware_Bay/292/2018(H6N7),HA,H6
MK554842,A/duck/China/1033/2017(H5N1),HA,H5
MK627747,A/ruddy_turnstone/Delaware_Bay/333/2010(H6N8),HA,H6
MK627999,A/ruddy_turnstone/Delaware_Bay/539/2013(H6N8),HA,H6
MK734294,A/Sandwich_tern/South_Africa/18010369/2018(H5N8),HA,H5
MK922520,A/chicken/Alkharj/910/2018(H5N8),HA,H5
MK996156,A/chicken/South_Africa/338087/2015(H6N2),HA,H6
MK996204,A/chicken/South_Africa/401156/2016(H6N2),HA,H6
MK996228,A/chicken/South_Africa/H44954/2016(H6N2),HA,H6
MK996236,A/chicken/South_Africa/432/2019(H6N2),HA,H6
MN038184,A/pigeon/Egypt/A15052/2018(H5N8),HA,H5
MN038194,A/chicken/Egypt/F15099/2018(H5N8),HA,H5
MN046334,A/chicken/Myanmar/OP_11/2017(H5N1),HA,H5
MN088641,A/chicken/Taiwan/2829/2000(H6N1),HA,H6
MN088643,A/chicken/Taiwan/2896/2000(H6N1),HA,H6
MN088646,A/chicken/Taiwan/3127/2003(H6N1),HA,H6
MN088684,A/chicken/Taiwan/3937/2012(H6N1),HA,H6
MN128306,A/goose/Guangdong/A_Goose_Guangdong_GS013_2015__HA/2015(H5N6),HA,H5
MN128659,A/goose/Guangdong/A_Goose_Guangdong_GS116__2015(H5N6),HA,H5
MN128667,A/goose/Guangdong/A_Goose_Guangdong_GS120__2015(H5N6),HA,H5
MN173361,A/goose/China/GS25_HA.seq/2016(H5N6),HA,H5
MN252530,A/chicken/South_Africa/499723/2018(H5N8),HA,H5
MN530458,A/white_peckin_duck/South_Korea/N08_0436/2008(H6N1),HA,H6
MN994161,A/chicken/Bangladesh/NRL_AI_8052/2017(H5N1),HA,H5
MT027086,A/layer_hen/Slovakia/A_chicken_Slovakia_Pah_14_2020_H5N8_HA/2020(H5N8),HA,H5
MT295783,A/duck/Khanh_Hoa/KH15/2014(H5N1),HA,H5
MT295786,A/chicken/Quang_Tri/MT11/2016(H5N6),HA,H5
AB288843,A/duck/Hokkaido/66/2001(H12N5),HA,H12
AF251419,A/Swine/Iowa/569/99(H3N2),HA,H3
AJ632269,A/chicken/France/03426a/03(H5N2),HA,H5
CY064081,A/mallard/Minnesota/Sg_00057/2007(H10N7),HA,H10
CY076101,A/common_murre/Oregon/20361_001/2007(H10N7),HA,H10
CY076913,A/common_eider/Netherlands2/2006(H4N8),HA,H4
CY078459,A/mallard/Interior_Alaska/6MP0758/2006(H10N8),HA,H10
CY079356,A/mallard/Illinois/08OS2710/2008(H10N7),HA,H10
CY079396,A/northern_shoveler/Mississippi/09OS168/2009(H10N6),HA,H10
CY089507,A/blue_winged_teal/Ohio/1850/2006(H4N6),HA,H4
CY093663,A/mallard/California/9704/2008(H10N7),HA,H10
CY093766,A/northern_shoveler/California/9235/2008(H10N8),HA,H10
CY093782,A/northern_shoveler/California/9710/2008(H10N7),HA,H10
CY097143,A/northern_shoveler/Mississippi/236/2010(H10N7),HA,H10
CY097293,A/lesser_scaup/Wisconsin/3964/2009(H10N3),HA,H10
CY128722,A/American_black_duck/New_Brunswick/04399/2007(H10N7),HA,H10
CY130288,A/mallard/Interior_Alaska/9BM2750R0/2009(H10N7),HA,H10
CY133489,A/mallard/Illinois/10OS4078/2010(H10N7),HA,H10
CY136349,A/ruddy_turnstone/Delaware_Bay/2763/1987(H10N7),HA,H10
CY136379,A/mallard/Alberta/553/1986(H10N7),HA,H10
CY136965,A/mallard/Alberta/71/1998(H10N7),HA,H10
CY136981,A/shorebird/Delaware_Bay/180/1999(H10N7),HA,H10
CY137008,A/shorebird/Delaware_Bay/211/2000(H10N7),HA,H10
CY137048,A/ruddy_turnstone/Delaware_Bay/31/2001(H10N7),HA,H10
CY137466,A/mallard/Alberta/150/2002(H10N7),HA,H10
CY137546,A/mallard/Alberta/56/2004(H10N7),HA,H10
CY137698,A/mallard/Alberta/182/2007(H10N7),HA,H10
CY137722,A/shorebird/Delaware_Bay/379/2008(H10N8),HA,H10
CY138809,A/mallard/Nova_Scotia/00375/2010(H10N7),HA,H10
CY139377,A/mallard_black_duck_hybrid/New_Brunswick/00904/2010(H10N7),HA,H10
CY142570,A/northern_pintail/Interior_Alaska/10BM11380R0/2010(H10N6),HA,H10
CY144876,A/mallard/North_Carolina/1321371/2004(H10N7),HA,H10
CY144893,A/mallard/Minnesota/AI06_1017/2006(H10N3),HA,H10
CY144901,A/green_winged_teal/Louisiana/169GW/1988(H10N7),HA,H10
CY145021,A/ruddy_turnstone/New_Jersey/Sg_00490/2008(H10N7),HA,H10
CY145727,A/mallard/Minnesota/Sg_00630/2008(H10N7),HA,H10
CY146028,A/ruddy_turnstone/New_Jersey/AI09_474/2009(H10N1),HA,H10
CY149484,A/black_headed_gull/Iceland/1298/2011(H10N5),HA,H10
CY149572,A/black_scoter/Maine/276/2011(H10N7),HA,H10
CY166186,A/American_green_winged_teal/Wisconsin/11OS3499/2011(H10N7),HA,H10
CY167151,A/northern_shoveler/Arkansas/12OS160/2012(H10N3),HA,H10
CY178254,A/mallard/Wisconsin/33/1981(H10N7),HA,H10
CY178294,A/duck/Wisconsin/2368/1985(H10N3),HA,H10
CY178935,A/mallard/Wisconsin/455/1979(H10N7),HA,H10
CY179235,A/mallard/Wisconsin/1350/1983(H10N7),HA,H10
CY181101,A/scaup/Saskatchewan/9/1981(H10N7),HA,H10
CY186764,A/northern_shoveler/Missouri/12OS5755/2012(H10N3),HA,H10
CY190291,A/mallard/Maryland/06OS186/2006(H10N4),HA,H10
CY190331,A/mallard/Maryland/06OS2409/2006(H10N4),HA,H10
CY190595,A/mallard/Maryland/07OS55/2007(H10N7),HA,H10
CY191291,A/mallard/Maryland/13OS3035/2014(H10N7),HA,H10
CY203733,A/mallard/Maryland/07OS871/2007(H10N9),HA,H10
CY203893,A/mallard/Maryland/09OS1125/2009(H10N7),HA,H10
CY204248,A/mallard/Ohio/14OS0981/2014(H10N7),HA,H10
CY204658,A/surf_scoter/Maryland/14OS1407/2014(H10N6),HA,H10
EU743322,A/northern_shoveler/TX/56/2000(H10N7),HA,H10
GU053338,A/mallard/Maryland/210/2003(H10N7),HA,H10
GU186501,A/turkey/VA/31409/1991(H10N7),HA,H10
HM059992,A/thick_billed_murre/Alaska/44086_095/2006(H11N9),HA,H11
HM179251,A/mallard/Switzerland/WV1090023/2009(H10),HA,H10
JN571285,A/chicken/Fujian/FZ04/2011(H9N2),HA,H9
JN571286,A/chicken/Fujian/FZ11/2011(H9N2),HA,H9
JQ791004,A/swine/Illinois/A01047014/2010(H3N2),HA,H3
KF501081,A/ruddy_shelduck/Mongolia/686C2/2008(H2N3),HA,H2
KJ508885,A/Eurasian_coot/Germany/R411/2010(H10N8),HA,H10
KU289762,A/American_green_winged_teal/Colorado/A00551331/2007(H7N3),HA,H7
KX949540,A/green_winged_teal/Alaska/UGAI15_6394/2015(H10N7),HA,H10
KY284444,A/northern_shoveler/Mississippi/15OS8011/2015(H7N3),HA,H7
KY550817,A/northern_shoveler/California/AH0079568/2016(H7N7),HA,H7
KY550849,A/American_green_winged_teal/Colorado/AH0026688/2015(H7N3),HA,H7
KY635615,A/quail/Bangladesh/24225/2015(H9N2),HA,H9
MH068116,A/ruddy_turnstone/New_Jersey/UGAI17_2881/2017(H10N7),HA,H10
MH071468,A/duck/Bangladesh/8988/2010(H10N9),HA,H10
MH071504,A/duck/Bangladesh/24268/2015(H10N6),HA,H10
MH501329,A/ruddy_turnstone/New_Jersey/AI09_1186/2009(H10N7),HA,H10
MH501713,A/ruddy_turnstone/New_Jersey/AI12_1992/2012(H10N7),HA,H10
MN210131,A/Common_Eider/Massachusetts/A00165665/2006(H10N2),HA,H10
MN210260,A/Green_Winged_Teal/Southcentral_Alaska/18MB01702/2018(H10N7),HA,H10
MN814776,A/Red_Knot/Delaware/125/2019(H10N7),HA,H10
MN937758,A/blue_winged_teal/Texas/UGAI18_986/2018(H10N8),HA,H10
MN938022,A/ruddy_turnstone/South_Carolina/UGAI18_006/2018(H10N2),HA,H10
MT090203,A/duck/Bangladesh/37630/2019(H10N4),HA,H10
CY045247,A/duck/Victoria/D23/1994(H4N2),HA,H4
CY046182,A/duck/France/080036/2008(H5N1),HA,H5
CY060275,A/mallard/Sweden/41/2002(H10N6),HA,H10
CY084513,A/swine/Hong_Kong/28/1977(H1N1),HA,H1
CY159185,A/swine/North_Carolina/SG1462/2004(H3N2),HA,H3
CY184512,A/mallard/Sweden/1337/2002(H7N7),HA,H7
CY184552,A/mallard/Sweden/1983/2003(H7N7),HA,H7
DQ251447,A/duck/Denmark/65047/2004(H5N2),HA,H5
EU301209,A/swine/Korea/JNS06/2004(H3N2),HA,H3
EU301212,A/aquatic_bird/Korea/CN_3/2005(H3N1),HA,H3
EU301217,A/aquatic_bird/Korea/KN_2/2005(H3N2),HA,H3
EU301220,A/aquatic_bird/Korea/KN_5/2006(H3N6),HA,H3
FJ519983,A/ostrich/South_Africa/N227/2004(H5N2),HA,H5
GQ176120,A/fowl/Hampshire/PD378/1985(H10N4),HA,H10
JX853749,A/swine/Minnesota/18/2012(H3N2),HA,H3
JX898902,A/swine/Montana/21/2012(H3N2),HA,H3
KF357850,A/duck/Zhejiang/D486/2013(H9N2),HA,H9
KP714419,A/mule_duck/Bulgaria/160/2010(H6N2),HA,H6
KU323053,A/swine/Italy/333140/2014(H1N2),HA,H1
LC427349,A/duck/Vietnam/HU3_1268/2015(H4N6),HA,H4
MG572489,A/Changsha/72/2017(H7N9),HA,H7
AB434296,A/swine/Ratchaburi/NIAH550/2003(H1N1),HA,H1
AB434352,A/swine/Udon_Thani/NIAH464/2004(H3N2),HA,H3
AB434360,A/swine/Nakhon_pathom/NIAH586_1/2005(H3N2),HA,H3
AB434368,A/swine/Ratchaburi/NIAH59/2004(H3N2),HA,H3
AB434376,A/swine/Ratchaburi/NIAH874/2005(H3N2),HA,H3
AB434408,A/swine/Ehime/1/1980(H1N2),HA,H1
AB434416,A/swine/Saitama/1996(H1N2),HA,H1
AB441170,A/swine/Miyazaki/1/2006(H1N2),HA,H1
